episode,timestep,reward
1,2000,9.35
3,4000,1.17
5,6000,104.02
7,8000,-27.835
9,10000,60.965
11,12000,47.07
13,14000,89.07
15,16000,141.24
17,18000,17.44
19,20000,186.21
21,22000,61.455
23,24000,-17.045
25,26000,-30.635
27,28000,8.725
29,30000,3.27
31,32000,95.625
33,34000,-37.9
35,36000,-3.31
37,38000,29.43
39,40000,206.745
41,42000,-3.415
43,44000,-96.94
45,46000,126.3
47,48000,131.215
49,50000,132.56
51,52000,70.59
53,54000,239.295
55,56000,174.715
57,58000,166.175
59,60000,23.51
61,62000,29.515
63,64000,116.275
65,66000,177.83
67,68000,49.4
69,70000,137.26
71,72000,-52.895
73,74000,114.105
75,76000,179.225
77,78000,207.955
79,80000,118.36
81,82000,245.225
83,84000,19.635
85,86000,252.77
87,88000,274.975
89,90000,207.255
91,92000,70.67
93,94000,69.615
95,96000,70.165
97,98000,-9.675
99,100000,35.67
101,102000,220.045
103,104000,145.59
105,106000,-3.935
107,108000,68.745
109,110000,58.015
111,112000,56.88
113,114000,-49.6
115,116000,2.05
117,118000,170.145
119,120000,-109.125
121,122000,10.72
123,124000,20.155
125,126000,-108.05
127,128000,136.875
129,130000,-92.68
131,132000,-22.565
133,134000,-139.815
135,136000,-55.41
137,138000,129.155
139,140000,17.145
141,142000,124.885
143,144000,126.365
145,146000,-50.43
147,148000,25.165
149,150000,70.97
151,152000,-28.24
153,154000,-68.265
155,156000,-142.73
157,158000,20.465
159,160000,-26.515
161,162000,101.17
163,164000,-54.615
165,166000,96.535
167,168000,31.62
169,170000,-105.775
171,172000,40.575
173,174000,75.75
175,176000,47.18
177,178000,112.345
179,180000,76.47
181,182000,-116.565
183,184000,60.03
185,186000,54.265
187,188000,-33.345
189,190000,191.125
191,192000,-15.865
193,194000,48.955
195,196000,-48.435
197,198000,86.08
199,200000,80.075
201,202000,5.645
203,204000,-115.055
205,206000,-42.895
207,208000,-33.57
209,210000,99.655
211,212000,-35.595
213,214000,-133.895
215,216000,67.18
217,218000,74.405
219,220000,-130.07
221,222000,-49.91
223,224000,25.53
225,226000,171.73
227,228000,52.78
229,230000,116.15
231,232000,3.86
233,234000,-21.385
235,236000,195.725
237,238000,77.76
239,240000,142.29
241,242000,-158.33
243,244000,-83.705
245,246000,-96.765
247,248000,-30.745
249,250000,-125.955
251,252000,95.135
253,254000,180.48
255,256000,-55.07
257,258000,100.1
259,260000,-9.2
261,262000,179.215
263,264000,-58.32
265,266000,-36.735
267,268000,125.44
269,270000,-23.285
271,272000,17.69
273,274000,-31.02
275,276000,108.865
277,278000,-106.08
279,280000,-120.355
281,282000,-52.545
283,284000,-21.445
285,286000,-10.335
287,288000,61.33
289,290000,4.735
291,292000,72.08
293,294000,158.745
295,296000,125.93
297,298000,-100.505
299,300000,175.515
301,302000,-89.51
303,304000,-8.785
305,306000,185.835
307,308000,-51.9
309,310000,-13.005
311,312000,-21.375
313,314000,42.08
315,316000,105.785
317,318000,192.81
319,320000,-43.75
321,322000,-164.865
323,324000,-42.705
325,326000,-104.56
327,328000,91.115
329,330000,63.35
331,332000,74.5
333,334000,39.79
335,336000,13.33
337,338000,218.295
339,340000,-94.1
341,342000,160.21
343,344000,129.61
345,346000,-12.39
347,348000,158.23
349,350000,-7.125
351,352000,-120.94
353,354000,1.425
355,356000,20.5
357,358000,-95.555
359,360000,-62.27
361,362000,26.555
363,364000,129.85
365,366000,99.67
367,368000,173.565
369,370000,-22.275
371,372000,49.765
373,374000,-47.74
375,376000,95.5
377,378000,-98.79
379,380000,96.08
381,382000,-28.465
383,384000,-191.875
385,386000,147.08
387,388000,-113.075
389,390000,110.785
391,392000,121.715
393,394000,46.68
395,396000,5.24
397,398000,102.7
399,400000,98.885
401,402000,-38.175
403,404000,275.97
405,406000,-23.09
407,408000,-57.785
409,410000,203.475
411,412000,-29.57
413,414000,-136.415
415,416000,173.565
417,418000,108.005
419,420000,179.375
421,422000,70.955
423,424000,-112.75
425,426000,-37.57
427,428000,-2.015
429,430000,75.555
431,432000,263.765
433,434000,196.805
435,436000,68.17
437,438000,11.95
439,440000,-71.315
441,442000,-98.495
443,444000,28.7
445,446000,-49.225
447,448000,31.85
449,450000,88.14
451,452000,-17.715
453,454000,172.3
455,456000,143.11
457,458000,30.525
459,460000,-119.89
461,462000,8.05
463,464000,-39.655
465,466000,185.35
467,468000,-9.41
469,470000,79.405
471,472000,97.395
473,474000,32.66
475,476000,-43.13
477,478000,-35.67
479,480000,207.035
481,482000,-188.865
483,484000,-30.805
485,486000,4.325
487,488000,151.87
489,490000,-140.625
491,492000,124.51
493,494000,-55.775
495,496000,-80.47
497,498000,213.98
499,500000,80.505
501,502000,93.42
503,504000,0.99
505,506000,-133.22
507,508000,-81.315
509,510000,100.67
511,512000,1.435
513,514000,226.12
515,516000,199.22
517,518000,134.065
519,520000,124.64
521,522000,-16.31
523,524000,-95.26
525,526000,38.16
527,528000,-50.58
529,530000,194.16
531,532000,46.575
533,534000,128.3
535,536000,173.62
537,538000,2.72
539,540000,-27.455
541,542000,-40.47
543,544000,36.24
545,546000,-69.395
547,548000,-202.41

